clip_id,guard_status,stream_a_error,stream_b_error,divergence_score,adaptive_threshold,classification
155,PASS,0.00106608378700912,0.02985130064189434,0.08848781883716583,0.12880903482437134,HEALTHY
156,PASS,0.001066733617335558,0.01777033507823944,0.05224427208304405,0.1258922964334488,HEALTHY
157,PASS,0.001055824221111834,0.029146898537874222,0.08638487011194229,0.12200178951025009,HEALTHY
158,PASS,0.0010563720716163516,0.016612164676189423,0.04878012090921402,0.12014211714267731,HEALTHY
159,PASS,0.0009808929171413183,0.029815170913934708,0.08846461772918701,0.11722666025161743,HEALTHY
160,PASS,0.0009813650976866484,0.017339633777737617,0.051037535071372986,0.11718805879354477,HEALTHY
161,PASS,0.0008916982915252447,0.02876986935734749,0.08541791141033173,0.1148044615983963,HEALTHY
162,PASS,0.0008921365952119231,0.017299680039286613,0.05100690573453903,0.11509445309638977,HEALTHY
163,PASS,0.0008895812788978219,0.032095182687044144,0.09539596736431122,0.11400766670703888,HEALTHY
164,PASS,0.0008897932129912078,0.018427487462759018,0.05439266934990883,0.11401936411857605,HEALTHY
165,PASS,0.0009343893616460264,0.03469720855355263,0.10315723717212677,0.11432602256536484,HEALTHY
166,PASS,0.0009349022293463349,0.018649086356163025,0.055012356489896774,0.11408668756484985,HEALTHY
167,PASS,0.0009836519602686167,0.03937073051929474,0.11712853610515594,0.11818096041679382,HEALTHY
168,PASS,0.0009841866558417678,0.019768070429563522,0.058320023119449615,0.11783707141876221,HEALTHY
169,PASS,0.0010614042403176427,0.049082089215517044,0.14618486166000366,0.12945185601711273,IRREGULAR
170,PASS,0.0010618341621011496,0.023589950054883957,0.06970801949501038,0.12931130826473236,HEALTHY
171,PASS,0.0010028616525232792,0.050393275916576385,0.1501769721508026,0.1406700760126114,IRREGULAR
172,PASS,0.001003184588626027,0.023481909185647964,0.06944254040718079,0.14051856100559235,HEALTHY
173,PASS,0.0009549320675432682,0.050807662308216095,0.15146805346012115,0.14369815587997437,IRREGULAR
174,PASS,0.0009550691465847194,0.0248868465423584,0.07370547205209732,0.14256824553012848,HEALTHY
175,PASS,0.0009636476752348244,0.05017736554145813,0.14956845343112946,0.14453232288360596,IRREGULAR
176,PASS,0.0009637521579861641,0.0262012742459774,0.07764007151126862,0.14347264170646667,HEALTHY
177,PASS,0.0009980755858123302,0.050859224051237106,0.1515795886516571,0.1455228328704834,IRREGULAR
178,PASS,0.0009985236683860421,0.024079622700810432,0.07124034315347672,0.14412540197372437,HEALTHY
179,PASS,0.0010164652485400438,0.05076995864510536,0.15129341185092926,0.1461942195892334,IRREGULAR
180,PASS,0.0010172479087486863,0.02502984181046486,0.07407227903604507,0.14507099986076355,HEALTHY
181,PASS,0.0010395904537290335,0.049500495195388794,0.1474618911743164,0.14692601561546326,IRREGULAR
182,PASS,0.0010406700894236565,0.024616943672299385,0.07281015813350677,0.14617127180099487,HEALTHY
183,PASS,0.000990749103948474,0.044787757098674774,0.13337251543998718,0.14731191098690033,HEALTHY
